ESO_mandatory,dtype,fixed,header,device_type,device_command,comment
TRUE,bool,TRUE,SIMPLE,astropy_default,,Standard FITS format
TRUE,int,TRUE,BITPIX,astropy_default,,# bits storing pix values
TRUE,int,TRUE,NAXIS,astropy_default,,# of axes in frame
TRUE,int,TRUE,NAXIS1,astropy_default,,# of pixels/row
TRUE,int,TRUE,NAXIS2,astropy_default,,# of rows (also # of scan lines)
TRUE,bool,TRUE,EXTEND,astra_fixed,1,Extensions may be present
TRUE,float,TRUE,BZERO,astropy_default,,value = fits-value*BSCALE+BZERO
TRUE,float,TRUE,BSCALE,astropy_default,,value = fits-value*BSCALE+BZERO
FALSE,str,TRUE,BUNIT,astra_fixed,ADU,Physical unit of array values
TRUE,int,TRUE,BLANK,astra_fixed,0,Value used for NULL pixels?
TRUE,str,TRUE,ORIGIN,astra_fixed,ESO-PARANAL,Observatory
TRUE,str,TRUE,TELESCOP,astra_fixed,SPECULOOS-CALLISTO,ESO Telescope Name
TRUE,str,TRUE,INSTRUME,astra_fixed,SPECULOOS4,Instrument used
TRUE,str,TRUE,PI-COI,astra_fixed,D Queloz,Name of the PI/Co-I
TRUE,str,TRUE,OBSERVER,astra_fixed,Astra,Name of the observer
TRUE,str,TRUE,OBJECT,astra,,Target as given by the user
TRUE,str,TRUE,RADESYS,astra_fixed,FK5,Reference system
TRUE,float,TRUE,EQUINOX,astra_fixed,2000,Standard FK5
TRUE,str,FALSE,DATE,astra,,Date the file was written
TRUE,float,FALSE,MJD-OBS,astra,,MJD at exposure start (d)
TRUE,str,FALSE,DATE-OBS,astra,,Exposure start
TRUE,str,TRUE,TIMESYS,astra_fixed,UTC,Time system used
TRUE,float,TRUE,EXPTIME,astra,,Exposure time (s)
TRUE,float,FALSE,LST,astra,?,"Local Sidereal Time, LST at start (s), time in seconds elapsed since midnight of the start of the exposure"
TRUE,float,FALSE,UTC,astra,?,"UTC at start (s), time in seconds elapsed since midnight of the start of the exposure"
TRUE,str,FALSE,CHECKSUM,astra,,HDU checksum
TRUE,str,FALSE,DATASUM,astra,,Data unit checksum
,,,,,,
FALSE,int,TRUE,XBINNING,Camera,BinX,Binning level along the X-axis
FALSE,int,TRUE,YBINNING,Camera,BinY,Binning level along the Y-axis
FALSE,float,TRUE,XPIXSZ,astra,,Pixel Width in microns (after binning)
FALSE,float,TRUE,YPIXSZ,astra,,Pixel Height in microns (after binning)
FALSE,int,TRUE,XORGSUBF,Camera,StartX,Subframe X position in binned pixels
FALSE,int,TRUE,YORGSUBF,Camera,StartY,Subframe Y position in binned pixels
FALSE,str,TRUE,ROWORDER,astra,?,Image write order - BOTTOM-UP or TOP-DOWN
FALSE,str,TRUE,FLIPSTAT,astra,?,
FALSE,str,TRUE,CAM-SNAM,Camera,SensorName,Camera sensor name
FALSE,str,TRUE,CAM-STYP,Camera,SensorType,Camera sensor type
FALSE,str,TRUE,CAM-DNAM,Camera,Name,The short name of the Camera driver
FALSE,str,TRUE,CAM-DVER,Camera,DriverVersion,Camera driver version
FALSE,float,TRUE,SET-TEMP,Camera,SetCCDTemperature,CCD temperature setpoint in C
FALSE,float,FALSE,CCD-TEMP,Camera,CCDTemperature,CCD temperature at __start of exposure__ (not) in C
FALSE,int,FALSE,CAM-STAT,Camera,CameraState,Camera status
,,,,,,
FALSE,str,TRUE,FILTER,astra,,Filter name
FALSE,str,FALSE,FW-POS,FilterWheel,Position,FilterWheel position
FALSE,str,TRUE,FW-NAME,FilterWheel,Name,FilterWheel driver version
FALSE,str,TRUE,FW-DVER,FilterWheel,DriverVersion,FilterWheel driver version
,,,,,,
FALSE,float,FALSE,FOCUSPOS,Focuser,Position,
FALSE,float,TRUE,FOCUSSSZ,Focuser,StepSize,Focuser step size in microns
FALSE,float,FALSE,FOCUSTEM,Focuser,Temperature,
FALSE,str,TRUE,FOC-DNAM,Focuser,Name,The short name of the Focuser driver
FALSE,str,TRUE,FOC-DVER,Focuser,DriverVersion,Focuser driver version
,,,,,,
TRUE,float,FALSE,RA,Telescope,RightAscension,Pointing (deg) (J2000.0)
TRUE,float,FALSE,DEC,Telescope,Declination,Pointing (deg) (J2000.0)
FALSE,float,TRUE,APTAREA,astra,ApertureArea,Aperture area of telescope in mm^2
FALSE,float,TRUE,APTDIA,astra,ApertureDiameter,Aperture diameter of telescope in mm
FALSE,float,TRUE,FOCALLEN,astra,FocalLength,Focal length of telescope in mm
FALSE,float,TRUE,ALT-OBS,Telescope,SiteElevation,[metres] Altitude above mean sea level
FALSE,float,TRUE,LAT-OBS,Telescope,SiteLatitude,[deg +N WGS84] Geodetic latitude
FALSE,float,TRUE,LONG-OBS,Telescope,SiteLongitude,[deg +E WGS84] Geodetic longitude
FALSE,float,FALSE,ALTITUDE,Telescope,Altitude,
FALSE,float,FALSE,AZIMUTH,Telescope,Azimuth,
FALSE,float,FALSE,AIRMASS,astra,,Averaged airmass
FALSE,str,TRUE,TEL-DNAM,Telescope,Name,The short name of the Telescope driver
FALSE,str,TRUE,TEL-DVER,Telescope,DriverVersion,Telescope driver version
FALSE,float,FALSE,HA,astra,HA = LST - RA,
FALSE,bool,FALSE,TRACKING,Telescope,Tracking,Tracking
FALSE,bool,FALSE,SLEWING,Telescope,Slewing,Slewing
,,,,,,
FALSE,float,FALSE,DOMEAZ,Dome,Azimuth,Dome azimuth (degrees)
FALSE,int,FALSE,DOMESTAT,Dome,ShutterStatus,Status of the dome shutter
FALSE,str,TRUE,DOM-DNAM,Dome,Name,The short name of the Dome driver
FALSE,str,TRUE,DOM-DVER,Dome,DriverVersion,Dome driver version
,,,,,,
FALSE,str,TRUE,IMAGETYP,astra,,Type of image
,,,,,,
FALSE,float,FALSE,DEWPOINT,ObservingConditions,DewPoint,
FALSE,float,FALSE,HUMIDITY,ObservingConditions,Humidity,[%] Ambient atmospheric humidity
FALSE,float,FALSE,AMBTEMP,ObservingConditions,Temperature,
FALSE,float,FALSE,WINDSPD,ObservingConditions,WindSpeed,
FALSE,str,TRUE,OBC-DNAM,ObservingConditions,Name,The short name of the ObservingConditions driver
FALSE,str,TRUE,OBC-DVER,ObservingConditions,DriverVersion,ObservingConditions driver version
,,,,,,
FALSE,str,TRUE,SAF-DNAM,SafetyMonitor,Name,The short name of the SafetyMonitor driver
FALSE,str,TRUE,SAF-DVER,SafetyMonitor,DriverVersion,SafetyMonitor driver version
,,,,,,
FALSE,float,FALSE,JD-OBS,astra,,Julian Date at time of exposure
FALSE,float,FALSE,HJD-OBS,astra,?,
FALSE,float,FALSE,BJD-OBS,astra,,
FALSE,float,FALSE,JD-END,astra,,JD at exposure end (d)
FALSE,float,FALSE,MJD-END,astra,,MJD at exposure end (d)
FALSE,str,FALSE,DATE-END,astra,,Exposure end
,,,,,,
FALSE,str,TRUE,ASTRA,astra,,Version of Astra
